"Date","Less than 1 year old","1 to 2 years old","5 to 14 years old","60 years or older","15 to 59 years old"
"2000.01",5395,5547,2327,5735,2982
"2000.02",5925,5721,2469,5759,3133
"2000.03",5160,5011,2189,5058,2580
"2000.04",4642,4610,2109,5404,2332
"2000.05",3929,3968,1696,3842,1857
"2000.06",4133,4366,1535,3601,1746
"2000.07",4647,5020,1634,3642,1800
"2000.08",4964,5456,1665,3675,1748
"2000.09",4549,5562,1812,3869,1864
"2000.10",4125,4907,1911,4135,1838
"2000.11",3867,4720,2033,4642,2047
"2000.12",3825,4645,2063,4749,2236
"2001.01",4432,5285,2351,5509,2893
"2001.02",4407,5550,2411,5825,2850
"2001.03",4215,5147,2317,5443,2708
"2001.04",4131,4917,2110,5099,2559
"2001.05",4022,4695,1897,4760,2511
"2001.06",4081,4599,1644,4309,2193
"2001.07",4714,5750,1765,4052,2149
"2001.08",5280,6410,1854,3939,2079
"2001.09",4896,6460,2113,4092,2024
"2001.10",4061,5182,1984,4039,2093
"2001.11",3744,4715,1857,4264,2031
"2001.12",3739,4739,2029,4588,2362
"2002.01",3821,4736,2194,5139,2793
"2002.02",4500,5332,2465,6012,3425
"2002.03",4430,5149,2473,5716,3094
"2002.04",4200,5406,2584,5314,2650
"2002.05",3695,5195,2357,4684,2180
"2002.06",3745,5214,2282,4591,2141
"2002.07",4049,5836,2193,4393,2111
"2002.08",4488,6764,2385,4651,2217
"2002.09",4645,7549,2593,4372,2092
"2002.10",4678,7414,2709,4322,2061
"2002.11",4109,6621,2673,4820,2308
"2002.12",4101,6453,2767,5288,2682
"2003.01",4308,6390,2980,6299,3198
"2003.02",4413,6670,3094,6501,3679
"2003.03",4561,6686,3323,6389,3949
"2003.04",4295,5873,2644,5620,3390
"2003.05",3834,5233,2414,4809,2915
"2003.06",3681,5224,2216,4494,2507
"2003.07",4337,6399,2221,4321,2446
"2003.08",4409,7275,2173,3973,1981
"2003.09",4894,8229,2572,4226,2140
"2003.10",4249,6871,2594,4581,2243
"2003.11",3893,6389,2566,4507,2285
"2003.12",4100,6316,2757,5128,2566
"2004.01",3836,6231,2847,5478,2760
"2004.02",4491,6733,3004,5937,3380
"2004.03",4843,6808,2811,5915,3643
"2004.04",3924,5362,2248,4638,3058
"2004.05",3379,4661,2180,4423,2529
"2004.06",3179,4506,1993,3967,2182
"2004.07",3352,4805,1936,3854,1989
"2004.08",3833,6165,2103,3790,2026
"2004.09",4796,8567,2373,3971,2021
"2004.10",4431,7752,2605,4201,2093
"2004.11",3668,6518,2572,4599,2270
"2004.12",3533,6148,2536,4915,2500
"2005.01",3457,6171,2911,5513,2840
"2005.02",3638,6314,3188,5858,3043
"2005.03",3860,6723,3144,5793,3194
"2005.04",3543,6008,2818,5601,3094
"2005.05",3474,5521,2644,5217,3091
"2005.06",3736,5601,2382,4900,2866
"2005.07",3920,5926,2331,4534,2721
"2005.08",4379,7617,2537,4635,2557
"2005.09",4572,8287,2747,4671,2501
"2005.10",3978,7115,2617,4886,2287
"2005.11",3716,6657,2872,5104,2486
"2005.12",3375,6059,2808,5263,2822
"2006.01",3504,6638,3272,6308,3505
"2006.02",3633,6740,3366,6266,3316
"2006.03",3584,6283,3302,6192,3199
"2006.04",2947,5405,3147,5933,3440
"2006.05",3307,5968,2886,6104,3612
"2006.06",3291,6156,2832,5162,3139
"2006.07",3341,6729,2660,4816,2825
"2006.08",4006,8267,2897,4855,2808
"2006.09",4129,8776,3017,5044,2713
"2006.10",3624,7674,2978,5132,2855
"2006.11",3371,6862,3175,5305,2833
"2006.12",3147,6423,3043,5505,2907
"2007.01",3087,5832,3057,5799,3140
"2007.02",2787,5223,2900,5664,2969
"2007.03",2740,5301,2950,5554,3127
"2007.04",2821,5375,2807,5617,3255
"2007.05",2472,4524,2629,4992,2933
"2007.06",2124,4180,2359,4603,2667
"2007.07",2006,4121,2187,4405,2388
"2007.08",2138,4681,2550,4622,2451
"2007.09",2433,5326,2524,4386,2325
"2007.10",2545,5963,2810,4975,2536
"2007.11",3019,6427,3142,5573,2771
"2007.12",4111,8543,4064,7603,3941
"2008.01",3066,6157,2862,5973,3179
"2008.02",2971,5724,2931,5668,3283
"2008.03",2729,5832,3177,6104,3445
"2008.04",2719,6421,3773,6693,3782
"2008.05",2010,4665,2798,5329,3114
"2008.06",1620,3822,2146,4086,2271
"2008.07",1797,4584,2184,4255,2243
"2008.08",2019,5809,2581,4485,2216
"2008.09",2195,6214,2827,4398,2273
"2008.10",2067,5488,2766,4478,2227
"2008.11",1961,4474,2329,4254,2110
"2008.12",2051,4170,2188,4303,2352
"2009.01",2553,5514,2828,5811,3212
"2009.02",2630,5258,2811,5567,3019
"2009.03",2711,6078,3569,6294,3732
"2009.04",1912,4305,2632,5219,2945
"2009.05",1680,3899,2661,4977,2747
"2009.06",1524,3508,2354,4434,2505
"2009.07",1662,3825,2248,4510,2384
"2009.08",1661,3977,2365,4287,2211
"2009.09",1895,4344,2336,4452,2279
"2009.10",2146,4878,2540,4639,2394
"2009.11",2730,6124,2885,5155,2785
"2009.12",2634,5950,2640,5274,2888
"2010.01",3441,8010,3105,6132,3658
"2010.02",3348,7020,2894,5806,3351
"2010.03",2546,5818,3001,6037,3331
"2010.04",1854,4712,2540,5120,2940
"2010.05",1783,4371,2737,5340,3017
"2010.06",1382,3935,2330,4576,2661
"2010.07",1655,4892,2871,4875,2750
"2010.08",1999,6827,3912,5190,2845
"2010.09",1975,6296,3870,5182,2673
"2010.10",1857,5099,3143,5125,2707
"2010.11",1883,5085,3101,5347,2902
"2010.12",1871,4806,2971,5538,2973
"2011.01",2107,5299,3410,6223,3712
"2011.02",1796,4860,2878,5421,3209
"2011.03",1653,4046,2684,5157,2885
"2011.04",1324,3368,2136,4426,2280
"2011.05",1180,3176,2147,4032,2217
"2011.06",1176,2951,2042,3690,2121
"2011.07",1281,3202,2008,3810,2056
"2011.08",1716,4272,2428,4280,2316
"2011.09",1699,4297,2383,4109,2136
"2011.10",1699,4279,2601,4548,2303
"2011.11",1906,4856,2660,4973,2539
"2011.12",1749,4222,2571,4858,2615
"2012.01",1734,4064,2445,5110,2689
"2012.02",1687,4180,2388,4775,2626
"2012.03",1887,4925,2770,5224,2902
"2012.04",1603,4051,2351,4506,2636
"2012.05",1502,3911,2213,4306,2436
"2012.06",1700,4490,2228,4360,2514
"2012.07",2007,5161,2252,4434,2621
"2012.08",2026,5304,2754,4574,2713
"2012.09",1670,4664,2576,4139,2383
"2012.10",1591,4278,2597,4213,2311
"2012.11",1364,3692,2262,4017,2310
"2012.12",1297,3606,2198,4393,2565
"2013.01",1590,4824,2766,5266,3182
"2013.02",1459,4499,2686,4953,3041
"2013.03",1452,4312,2813,5214,3223
"2013.04",1318,3737,2638,4699,3001
"2013.05",1196,3845,2704,4658,3463
"2013.06",1229,3553,2426,4316,3155
"2013.07",1172,3118,2034,3871,2538
"2013.08",1253,3593,2057,3444,2183
"2013.09",1347,3910,2363,3744,2135
"2013.10",1567,4170,2474,3967,2286
"2013.11",1568,4196,2389,3859,2206
"2013.12",1669,4243,2322,4035,2446
"2014.01",1932,5322,2659,4864,3170
"2014.02",1747,4839,2437,4218,2682
"2014.03",1567,4637,2420,4302,2660
"2014.04",1248,3812,2006,3923,2284
"2014.05",1128,3284,2108,3684,2211
"2014.06",1085,3052,1933,3256,2103
"2014.07",1116,3353,2040,3474,2012
"2014.08",1481,4796,2968,3565,2212
"2014.09",1377,4868,3077,3896,2240
"2014.10",1406,4054,2649,3902,2287
"2014.11",1216,3249,2113,3535,2022
"2014.12",1127,2880,1887,3730,2177
"2015.01",1310,3359,2113,3966,2404
"2015.02",1216,2913,1844,3506,2146
"2015.03",1402,3612,2000,4087,2450
"2015.04",1075,2984,1707,3506,2384
"2015.05",1034,2630,1609,3259,2282
"2015.06",898,2268,1483,2873,1930
"2015.07",966,2568,1657,3046,2011
"2015.08",1044,2833,1724,3130,1970
"2015.09",1135,2668,1668,3181,1944
"2015.10",1194,2714,1738,3416,2040
"2015.11",1136,2579,1708,3300,2010
"2015.12",1123,2558,1636,3233,2091
"2016.01",1410,3412,2139,3978,2499
"2016.02",1737,4927,2585,4672,3176
"2016.03",1755,4541,2367,4123,2960
"2016.04",1412,3670,1877,3137,2223
"2016.05",1183,3089,1578,2524,1900
"2016.06",1127,2998,1559,2357,1621
"2016.07",1200,3608,1806,2450,1716
"2016.08",1489,4517,2404,2723,1853
"2016.09",1318,3987,2209,2658,1740
"2016.10",1227,3481,1933,2720,1819
"2016.11",1114,2837,1705,2593,1750
"2016.12",1001,2405,1385,2495,1706
"2017.01",1286,3353,1922,3296,2256
"2017.02",1205,3291,2015,3192,2185
"2017.03",1216,3511,2047,3245,2382
"2017.04",929,2670,1496,2543,1992
"2017.05",929,2820,1674,2720,1984
"2017.06",847,2428,1490,2375,1785
"2017.07",836,2256,1368,2332,1707
"2017.08",923,2766,1625,2409,1641
"2017.09",998,2891,1822,2436,1566
"2017.10",1115,3111,1944,2726,1816
"2017.11",1058,2639,1672,2627,1790
"2017.12",1114,2522,1512,2768,1827
"2018.01",1376,3511,1850,3402,2445
"2018.02",1344,3266,1650,3035,2129
"2018.03",1593,4027,1740,3116,2306
"2018.04",1143,2986,1581,2730,1993
"2018.05",1041,2439,1395,2386,1754
"2018.06",709,1833,1098,2040,1469
"2018.07",816,2024,1132,2193,1479
"2018.08",936,2475,1392,2314,1547
"2018.09",968,2699,1546,2529,1614
"2018.10",1166,2679,1608,2683,1711
"2018.11",1018,2581,1483,2765,1753
"2018.12",1162,2652,1469,2770,1895
"2019.01",1407,3517,1899,3235,2276
"2019.02",1301,3037,1501,2724,1938
"2019.03",1245,3236,1482,2654,2030
"2019.04",1157,2895,1497,2568,1960
"2019.05",1003,2662,1514,2520,1842
"2019.06",859,1986,1212,2056,1641
"2019.07",875,2220,1189,2097,1589
"2019.08",1075,2684,1403,2304,1652
"2019.09",1114,2969,1612,2373,1746
"2019.10",1119,3002,1727,2662,1863
"2019.11",1038,2766,1698,2536,1808
"2019.12",1049,2424,1427,2620,1774
"2020.01",1338,3271,1775,3024,2110
"2020.02",1271,3175,1822,2938,2035
"2020.03",908,2375,1488,2294,1730
"2020.04",345,735,587,1356,1002
"2020.05",335,588,439,1176,772
"2020.06",364,720,492,1106,810
"2020.07",402,764,491,1139,752
"2020.08",421,896,520,1211,843
"2020.09",539,1098,665,1311,857
"2020.10",657,1296,755,1599,1056
"2020.11",613,1548,786,1572,1029
"2020.12",649,1639,802,1464,938
"2021.01",699,1833,850,1523,1002
"2021.02",611,1521,751,1471,909
"2021.03",542,1286,567,1132,693
"2021.04",453,1071,592,1153,661
"2021.05",468,1180,626,1199,693
"2021.06",468,1297,624,1106,687
"2021.07",580,1605,694,1284,803
"2021.08",749,2295,923,1530,933
"2021.09",838,2573,900,1633,1109
"2021.10",868,2562,981,1782,1135
"2021.11",954,2799,1040,1734,1257
"2021.12",820,2352,958,1638,1315
"2022.01",640,1634,843,1299,1105
"2022.02",740,1881,856,1406,1060
"2022.03",825,2393,1156,1780,1358
"2022.04",758,2144,1062,1684,1272
"2022.05",693,2085,1126,1643,1236
"2022.06",675,1846,1023,1493,1075
"2022.07",676,1910,1123,1501,1151
"2022.08",823,2197,1329,1767,1258
"2022.09",688,2068,1342,1742,1202
"2022.10",809,2092,1417,1839,1236
"2022.11",702,1969,1308,1667,1341
"2022.12",659,1752,1082,1768,1325
