"Faixa Etaria","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"0 a 4 anos nao detalhado",0,16341508,16359696,16377727,16396125,16414405,16431266,16449165,16466535,16483155,16499733,0,16121616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Menor 1 ano",3565568,0,0,0,0,0,0,0,0,0,0,3200814,0,3292255,3340437,3386794,3107290,3161032,3206080,3251279,3213310,3265130,3309775,3354621,3399251,3500554,3552258,3186852,3083916,3013689,2713244,2854446,2879916
"1 a 4 anos",12862495,0,0,0,0,0,0,0,0,0,0,13320300,0,13702036,13902631,14095560,12516494,12730519,12910215,13090278,13162418,13373308,13555078,13737154,13918815,14331210,14541570,13354920,12958422,12674238,11082915,11066347,11164677
"5 a 9 anos",14771793,14964869,15215468,15466743,15717524,15967494,16214388,16458508,16697468,16930197,17157414,17420159,16979376,17918393,18179863,18432205,16395934,16667863,16896178,17124794,16542327,16801403,17024731,17248418,17471260,17977871,18236103,16971508,16919700,16960663,14969375,15101908,15233147
"10 a 14 anos",14252521,14477085,14739488,15002642,15265089,15526836,15785152,16040727,16290971,16534718,16772563,17047159,17065294,17533838,17788032,18033518,17515836,17800942,18040252,18279983,17348067,17612904,17841705,18070870,18298595,18817108,19081361,16709810,16514607,16489531,17166761,17316244,17463169
"15 a 19 anos",13569436,13678942,13815713,13952919,14089762,14226137,14359934,14493114,14623504,14750630,14874607,15017472,15387104,15451077,15673926,15889254,16678519,16954545,17186076,17418087,17939815,18215009,18452808,18690990,18927614,19466191,19740804,17266893,16938865,16784086,16990870,17137669,17282045
"20 a 29 anos",20966816,21416015,21904635,22395121,22884180,23371620,23854337,24330326,24796411,25250684,25693802,26202956,26302771,26992721,27379677,27753442,27375421,27847175,28243279,28639976,29991180,30469072,30882571,31296497,31708124,32644330,33121227,35235185,35082432,35167963,34349603,34654993,34955804
"30 a 39 anos",14045685,14601657,15206354,15813127,16418278,17021538,17620672,18209748,18786653,19348555,19896839,20527256,21202882,21145701,21445163,21735014,23275104,23669215,24000144,24331382,25290473,25686474,26030561,26374006,26715812,27493102,27888964,28175570,28472896,29112448,29633093,29892271,30147112
"40 a 49 anos",10379672,10690060,11023669,11358535,11692484,12025226,12355842,12680781,12999088,13309218,13611680,13959402,14696414,14359440,14560530,14755152,16684063,16952057,17176940,17402107,19268235,19557911,19811029,20062916,20313570,20883461,21173713,23693206,23894015,24279991,24842718,25049831,25253896
"50 a 59 anos",7256821,7446513,7646665,7847530,8047889,8247455,8445810,8640739,8831758,9017736,9199315,9407252,9744396,9663959,9797637,9926988,10711401,10869654,11002350,11135210,12507316,12682733,12837326,12990287,13142561,13488987,13665444,16536418,16986922,17570350,18416621,18563352,18706915
"60 a 69 anos",4470696,4649102,4829031,5009838,5189985,5369525,5548192,5723488,5895195,6062613,6225806,6412918,6635012,6582216,6672073,6758965,7223346,7323096,7406579,7490334,8182035,8289329,8384653,8478685,8572136,8784793,8893199,9968757,10257293,10625402,11349929,11435633,11519216
"70 a 79 anos",2165506,2244172,2339734,2435649,2531203,2626519,2721265,2814257,2905426,2994264,3080877,3180136,3328802,3261348,3305851,3348609,3721624,3769935,3810517,3851182,4521889,4578329,4628750,4678412,4727740,4839945,4897102,5684477,5834495,6009549,6305085,6350417,6394669
"80 anos e mais",590603,644236,693776,743521,793058,842517,891634,939886,987131,1033183,1078120,1129651,1220453,1158269,1174035,1189127,1453708,1471892,1487214,1502485,1832105,1854174,1873945,1893395,1912656,1956522,1978868,2551595,2669251,2793135,2935585,2956176,2975964
"Idade ignorada",113440,0,0,0,0,0,0,0,0,0,0,0,0,495268,506608,517668,411423,418372,424358,430339,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total",119011052,121154159,123774229,126403352,129025577,131639272,134228492,136780739,139280140,141714953,144090756,146825475,148684120,151556521,153726463,155822296,157070163,159636297,161790182,163947436,169799170,172385776,174632932,176876251,179108134,184184074,186770613,189335191,189612814,191481045,190755799,192379287,193976530